Defter;Place of origin;Migration;location_1;latitude_1;longitude_1;date_hijri_1;date_gregorian_1;location_2;latitude_2;longitude_2;date_hijri_2;date_gregorian_2;location_3;latitude_3;longitude_3;date_hijri_3;date_gregorian_3;location_4;latitude_4;longitude_4;date_hijri_4;date_gregorian_4;location_5;latitude_5;longitude_5;date_hijri_5;date_gregorian_5;location_6;latitude_6;longitude_6;date_hijri_6;date_gregorian_6;location_7;latitude_7;longitude_7;date_hijri_7;date_gregorian_7;location_8;latitude_8;longitude_8;date_hijri_8;date_gregorian_8;location_9;latitude_9;longitude_9;date_hijri_9;date_gregorian_9;location_10;latitude_10;longitude_10;date_hijri_10;date_gregorian_10;location_11;latitude_11;longitude_11;date_hijri_11;date_gregorian_11;location_12;latitude_12;longitude_12;date_hijri_12;date_gregorian_12;location_13;latitude_13;longitude_13;date_hijri_13;date_gregorian_13;location_14;latitude_14;longitude_14;date_hijri_14;date_gregorian_14
Defter 3693;Ohri;reft memleket, 29.Za.1267;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;29.Za.1267;09/30/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3694;Ohri;reft memleket, 11 L. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;11 L. 1265;09/05/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3695;Ohri;bu dahi', ;Tatavla;41,06;28,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3696;Ohri;reft vilayet, 16 Z. 1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;16 Z. 1266;10/10/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3697;Ohri;reft vilayet, 20.L.1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;20.L.1266;08/28/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3699;Manastır;reft vilayet, 12.Za.1265;Tatavla;41,06;28,98;;;Manastır;40,99;21,43;12.Za.1265;09/14/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3700;Ohri;reft vilayet, 13.L.1264;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;13.L.1264;09/01/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3701;Sakız;reft vilayet, 8 Z. 1265;Tatavla;41,06;28,98;;;Sakız;38,37;26,14;8 Z. 1265;09/10/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3704;Ohri;reft vilayet, 23 L. 1264;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;23 L. 1264;09/11/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3706;Premeli;reft vilayet, 4 Z. 1266;Tatavla;41,06;28,98;;;Premeli;41,18;20,67;4 Z. 1266;09/28/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3708;Ohri;reft vilayet, 11 L. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;11 L. 1265;09/05/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3710;Sirozî;reft vilayet, 8 M. 1264;Tatavla;41,06;28,98;;;Sirozî;41,08;23,55;8 M. 1264;12/01/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3711;Ohri;reft memleket, 3 M. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;3 M. 1265;12/23/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3712;Prespeli;reft vilayet, 13.B.1265;Tatavla;41,06;28,98;;;Prespeli;40,9;21,03;13.B.1265;05/28/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3713;Ohri;reft vilayet, 12 L. 1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;12 L. 1266;09/06/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3714;Ohri;reft vilayet, 25 M. 1273;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;25 M. 1273;09/30/1856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3715;Köstendil;reft vilayet, 13 L. 1264;Tatavla;41,06;28,98;;;Köstendil;42,25;22,68;13 L. 1264;09/01/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3716;Manastır;reft vilayet, 13 B. 1265;Tatavla;41,06;28,98;;;Manastır;40,99;21,43;13 B. 1265;05/28/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3717;Ohri;reft vilayet, 4 N. 1264;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;4 N. 1264;07/23/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3719;Ohri;reft vilayet, 13.L.1264;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;13.L.1264;09/01/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3721;Ohri;reft vilayet, 8.Za.1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;8.Za.1265;10/21/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3722;Ohri;reft vilayet, 24.Ca.1267;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;24.Ca.1267;04/01/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3723;Ohri;reft vilayet, 5.Za.1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;5.Za.1265;10/18/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3725;Ohri;reft memleket, 22.Za.1267;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;22.Za.1267;10/01/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3727;Ohri;reft memleket, 16 Z. 1270;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;16 Z. 1270;08/23/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3728;Ohri;reft memleket, 11 B. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;11 B. 1265;05/26/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3729;Prespe;reft vilayet, 13 B. 1265;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;13 B. 1265;05/28/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3730;Ohri;reft vilayet, 24 Za. 1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;24 Za. 1266;10/06/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3731;Ohri;reft vilayet, 20 Za. 1267;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;20 Za. 1267;09/11/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3732;Prespe;reft memleket, 28 M. 1273;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;28 M. 1273;09/30/1856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3733;Ohri;reft vilayet, 17.Z.1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;17 Z. 1265;10/21/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3735;Manastır;reft memleket, 4 M. 1272;Tatavla;41,06;28,98;;;Manastır;40,99;21,43;4 M. 1272;09/16/1855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3736;Ohri;reft vilayet, 18 L. 1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;18 L. 1266;08/25/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3737;Ohri;reft vilayet, 18 L. 1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;18 L. 1266;08/25/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3738;Ohri;reft memleket, 16 B. 1267;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;16 B. 1267;05/30/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3739;Manastır;reft vilayet, 25 L. 1266;Tatavla;41,06;28,98;;;Manastır;40,99;21,43;25 L. 1266;09/01/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3741;Ohri;reft vilayet, 30 Za. 1264;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;30 Za. 1264;10/21/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3742;Ohri;reft memleket, 18 N. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;18 N. 1265;08/23/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3743;Ohri;reft memleket, 17 Z. 1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;17 Z. 1266;10/22/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3744;Prespeli ?;reft vilayet, 10 M. 1267;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;10 M. 1267;11/14/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3745;Ohri;reft memleket, 11 L. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;11 L. 1265;08/15/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3746;Ohri;reft vilayet, 12 L. 1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;12 L. 1266;08/19/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3747;Ohri;reft memleket, 8 Z. 1270;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;8 Z. 1270;08/12/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3748;Ohri;reft vilayet, 21 M. 1269;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;21 M. 1269;11/11/1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3749;Ohri;reft vilayet, 16 L. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;16 L. 1265;09/06/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3750;Ohri;reft memleket, 12 Za. 1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;12 Za. 1266;10/01/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3751;Ohri;reft vilayet, 6.Za.1264;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;6.Za.1264;10/01/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3752;Ohri;reft vilayet, 13.Ş.1269;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;13.Ş.1269;06/28/1853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3753;Ohri;reft vilayet, 11 L. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;11 L. 1265;09/01/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3754;Ohri;reft vilayet, 19 Ca. 1270;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;19 Ca. 1270;02/09/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3755;Florina;reft vilayet, 4.Za.1266;Tatavla;41,06;28,98;;;Florina;40,78;21,41;4.Za.1266;09/23/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3756;Ohri;reft vilayet, 26 L. 1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;26 L. 1266;09/14/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3757;Ohri;bu dahi, Not a date;Tatavla;41,06;28,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3758;Ohri;reft vilayet, 26.Za.1269;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;26.Za.1269;09/21/1853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3760;Ohri;reft memleket, 8.Ra.1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;8.Ra.1265;02/14/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3762;Ohri;Reft Vilayet, 6 M. 1274;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;6 M. 1274;09/28/1857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3763;Ohri;reft vilayet, 4 Z. 1269;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;4 Z. 1269;09/29/1853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3765;Ohri;reft vilayet, 16 L. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;16 L. 1265;09/06/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3767;Ohri;Reft Memleket, 2.Ş. 1272;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;2.Ş.1272;04/11/1856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3768;Ohri;reft vilayet, 10 Za. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;10.Za.1265;09/30/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3770;Ohri;reft memleket, 15 Ca. 1267;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;15.Ca.1267;03/25/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3772;Manastır;reft vilayet, 11 Za. 1268;Tatavla;41,06;28,98;;;Manastır;40,99;21,43;11.Za.1268;09/06/1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3775;Ohri;reft vilayet, 18 L. 1267;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;18.L.1267;08/18/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3776;Ohri;reft, 9 Za. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;9.Za.1265;09/29/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3777;Ohri;reft vilayet, 8 L. 1269;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;8.L.1269;07/01/1853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3778;Prespe;reft vilayet, 21 L. 1266;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;21.L.1266;09/06/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3779;Prespe ?;reft memleket, 13.N.1270;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;13.N.1270;06/28/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3781;Kesriye;reft memleket, 25.Za.1266;Tatavla;41,06;28,98;;;Kesriye;40,52;21,27;25.Za.1266;10/09/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3782;Ohri;reft vilayet, 23 Za. 1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;23.Za.1266;10/07/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3783;Manastır;reft vilayet, 3 Za. 1266;Tatavla;41,06;28,98;;;Manastır;40,99;21,43;3.Za.1266;09/17/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3785;Ohri;reft vilayet, 12 Za. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;12.Za.1265;10/02/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3789;Prespe;reft, 19 Z. 1272;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;19.Z.1272;08/20/1856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3790;Ohri;reft vilayet, 17 B. 1267;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;17.B.1267;05/21/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3791;Ohri;reft vilayet, 20 L. 1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;20 L. 1266;08/15/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3793;Ohri;reft, 14 Ca. 1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;14 Ca. 1266;04/10/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3795;Prespe;reft memleket, 30.C.1269;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;30.C.1269;04/01/1853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3797;Prespe;reft memleket, 3 M. 1266;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;3 M. 1266;12/06/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3799;Prespeli;reft vilayet, 23 Za. 1266;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;23 Za. 1266;09/15/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3802;Prespe;reft vilayet, 7 R. 1266;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;7 R. 1266;02/10/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3803;Ohri;reft vilayet, 16 L. 1267;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;16 L. 1267;08/10/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3804;Ohri;reft memleket, 14 B. 1268;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;14 B. 1268;05/28/1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3805;Ohri;reft vilayet, 26.Za.1266;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;26.Za.1266;09/18/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3806;Ohri;reft memleket, 8 Ş. 1268;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;8 Ş. 1268;06/21/1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3807;Ohri;reft vilayet, 13 L. 1265;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;13 L. 1265;08/10/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3809;Ohri;reft vilayet, 24.Za.1269;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;24.Za.1269;09/15/1853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3811;Ohri;reft memleket, 16.Ca.1268;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;16.Ca.1268;04/01/1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3812;Ohri;reft memleket, 4 B. 1263;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;4 B. 1263;06/18/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3813;Ohri;reft memleket, 17.Za.1267;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;17.Za.1267;09/10/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3814;Kesriye;reft memleket, 29 Z. 1268;Tatavla;41,06;28,98;;;Kesriye;40,52;21,27;29 Z. 1268;09/28/1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3815;Prespe;reft memleket, 28 Za. 1267;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;28 Za. 1267;09/21/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3818;Manastır;reft memleket, 5 L. 1267;Tatavla;41,06;28,98;;;Manastır;40,99;21,43;5 L. 1267;08/28/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3823;Prespe;reft memleket, 20 L. 1268;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;20 L. 1268;08/14/1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3824;Ohri;reft memleket', 3.Za.1267;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;3 Za. 1267;08/27/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3825;Prespe;reft memleket, 26 Z. 1269;Tatavla;41,06;28,98;;;Prespe;40,9;21,03;26 Z. 1269;10/21/1853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3826;Ohri;reft vilayet, 7 Z. 1268;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;7 Z. 1268;09/06/1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3827;Ohri;reft vilayet, 25 Z. 1270;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;25 Z. 1270;10/18/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3828;Ohri;reft vilayet, 22 Z. 1271;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;22 Z. 1271;10/11/1855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3829;Ohri;reft memleket, 2 M. 1271;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;2 M. 1271;09/25/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3830;Ohri;reft vilayet, 1 Z. 1267;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;1 Z. 1267;09/25/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3835;Ohri;reft vilayet, 5 Za. 1269;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;5 Za. 1269;09/01/1853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3836;Ohri;reft vilayet, 9 B. 1268;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;9 B. 1268;05/31/1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 3838;Ohri;reft, 24.Za.1269;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;24 Za. 1269;09/20/1853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
